JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2458403.3,19.524,0.09,,V,FTKB,,NA,,X23250DBQ,,0,1.325,Z,,,,M31_V1,,STD,,,,
2458404.28,19.757,0.109,,V,FTKB,,NA,,X23250DBQ,,0,1.375,Z,,,,M31_V1,,STD,,,,
2458407.57,18.129,0.063,,V,UIS01,,ENSEMBLE,0.0,0,2017AJ....154...81M,1,1.281,Z,0.0,0.0,,M31_V1,,STD,0,,,
2458407.57,18.954,0.152,,R,UIS01,,ENSEMBLE,0.0,0,2017AJ....154...81M,1,1.281,Z,0.0,0.0,,M31_V1,,STD,0,,,
2458412.26,18.397,0.011,,V,FTKB,,NA,,X23250DBQ,,0,1.356,Z,,,,M31_V1,,STD,,,,
2458413.32,18.495,0.011,,V,FTKB,,NA,,X23250DBQ,,0,1.134,Z,,,,M31_V1,,STD,,,,
2458414.31,18.729,0.016,,V,FTKB,,NA,,X23250DBQ,,0,1.158,Z,,,,M31_V1,,STD,,,,
2458495.4853,19.518,0.057,,CV,WCR,,ENSEMBLE,000-BJV-800,X23992DE,,0,1.058,Z,,16.630,2458495.4858,M31_V1,RASC,STD,,,,
2458500.4721,19.843,0.082,,CV,WCR,,ENSEMBLE,000-BJV-800,X23992DE,,0,1.013,Z,,16.640,2458500.4722,M31_V1,RASC,STD,,,,
2458505.4835,18.641,0.056,,CV,WCR,,ENSEMBLE,000-BJV-800,X23992DE,,0,1.037,Z,,16.627,2458505.4832,M31_V1,RASC,STD,,,,
2458511.4845,18.788,0.049,,CV,WCR,,ENSEMBLE,000-BJV-800,X23992DE,,0,1.072,Z,,16.654,2458511.4837,M31_V1,RASC,STD,,,,
2458514.4942,18.999,0.068,,CV,WCR,,ENSEMBLE,000-BJV-800,X23992DE,,0,1.152,Z,,16.658,2458514.4931,M31_V1,RASC,STD,,,,
2458515.4815,19.003,0.058,,CV,WCR,,ENSEMBLE,000-BJV-800,X23992DE,,0,1.086,Z,,16.636,2458515.4804,M31_V1,RASC,STD,,,,
2458705.49838,18.965,0.118,,V,NADA,,URAT1 656-009959,,,STANDARD MAG C= 18.607,0,1.101,Z,,,2458705.50000,M31_V1,,STD,,,,
